x_exp,SpeedUp_exp
-2.9882988298829876, 0.5990825688073396
-2.8351844358747798, 0.6155963302752294
-2.6008967869263984, 0.6596330275229358
-2.438748462002163, 0.6816513761467893
-2.0618006754803915, 0.5
-1.4929768206178418, 0.7944954128440371
-1.4835465197895932, 0.8660550458715597
-1.5914086821526192, 0.8908256880733951
-1.2835283528352823, 1.1990825688073397
-1.5080388772822229, 1.284403669724771
-1.1928422200018165, 1.3119266055045875
-1.290002394734886, 1.6201834862385323
-1.0285138605603672, 1.6972477064220188
-1.1992832310754, 1.7385321100917435
-1.1449805531011812, 1.7880733944954132
-1.0459211058720541, 1.7963302752293582
-0.6492704316303186, 1.8981651376146793
-0.8379920560863425, 1.947706422018349
-0.6938290159291158, 1.9724770642201839
-1.1528914359325837, 1.969724770642202
-0.9091734861559555, 2.0853211009174313
-0.8497510301488864, 1.488073394495413
-0.5492365750336496, 2.068807339449542
-0.4132486643159732, 2.231192660550459
-0.4217210711896868, 2.3192660550458717
-0.3137102701095795, 2.3192660550458717
-0.24153791525941593, 2.3467889908256883
-0.053955854301025674, 2.1073394495412847
0.009298177524174278, 2.1486238532110096
0.009727578262412884, 2.2201834862385326
0.3409607015747458, 1.9201834862385323
0.2504066920453516, 1.8293577981651379
0.4565851080520904, 1.6889908256880737
0.5902938917744986, 1.4715596330275231
0.6788825671557994, 1.2348623853211012
0.9580756240761694, 1.2623853211009177
0.8039537898744005, 1.077981651376147
1.0828826001866254, 1.0614678899082572
1.216079406105747, 0.7587155963302754
1.3321992749733678, 0.6100917431192663
1.45769989843021, 0.524770642201835
1.5563794911601256, 0.46972477064220186
1.7007407162734633, 0.527522935779817
1.6730608840700594, 0.41467889908256916
1.8081899933112577, 0.4339449541284406
1.9163824639344682, 0.4642201834862387
2.069331703812585, 0.453211009174312
2.1321563348995447, 0.42293577981651387
2.2676487832269476, 0.5027522935779816
2.3394412835778997, 0.46697247706422074
2.555429854912095, 0.46146788990825716
2.636685686917316, 0.5027522935779816
2.718040611400591, 0.5605504587155967
